candidate_id,candidate_name,candidate_email,role,applied_on,cv_tier,invited_on,answers_submitted_on,outcome,outcome_on
C3209,Mai Gia Ngo,mai.ngo.gia12@example.com,Finance Analyst,2026-08-18,Tier 1,2026-08-21,2026-08-22,rejected,2026-09-03
C3226,Khanh Duc Phan,khanh.phan.duc59@example.com,Marketing Coordinator,2026-08-18,Tier 3,,,not_invited,2026-08-21
C3176,Ngoc Thu Huynh,ngoc.huynh.thu87@example.com,Sales Executive,2026-08-19,Tier 2,2026-08-20,,no_answers_received,2026-08-27
C3179,Loan Minh Truong,loan.truong.minh55@example.com,Customer Success Associate,2026-08-19,Tier 3,,,not_invited,2026-08-21
C3181,My Minh Vu,my.vu.minh47@example.com,Backend Engineer,2026-08-19,Tier 3,,,not_invited,2026-08-22
C3184,Sang Thu Bui,sang.bui.thu80@example.com,Sales Executive,2026-08-19,Tier 3,,,not_invited,2026-08-22
C3197,Mai Thi Vu,mai.vu.thi59@example.com,Customer Success Associate,2026-08-19,Tier 1,2026-08-20,,no_answers_received,2026-08-30
C3208,Mai Kim Le,mai.le.kim92@example.com,Marketing Coordinator,2026-08-19,Tier 3,2026-08-22,2026-08-26,advanced,2026-09-01
C3222,Nam Thi Ngo,nam.ngo.thi81@example.com,Marketing Coordinator,2026-08-19,Tier 2,2026-08-20,2026-08-24,rejected,2026-08-29
C3223,Tam Kim Vo,tam.vo.kim78@example.com,Sales Executive,2026-08-19,Tier 3,,,not_invited,2026-08-22
C3177,Khanh Thi Vu,khanh.vu.thi77@example.com,Customer Success Associate,2026-08-20,Tier 3,,,not_invited,2026-08-21
C3187,Ngoc Gia Ngo,ngoc.ngo.gia86@example.com,Finance Analyst,2026-08-20,Tier 1,2026-08-23,2026-08-26,rejected,2026-09-03
C3194,Dung Minh Vo,dung.vo.minh84@example.com,Finance Analyst,2026-08-20,Tier 2,2026-08-22,2026-08-24,advanced,2026-09-03
C3196,Yen Thi Hoang,yen.hoang.thi43@example.com,Marketing Coordinator,2026-08-20,Tier 1,2026-08-21,2026-08-22,rejected,2026-08-30
C3198,Vy Kim Ngo,vy.ngo.kim41@example.com,Sales Executive,2026-08-20,Tier 2,2026-08-23,2026-08-24,advanced,2026-08-29
C3202,Quang Duc Hoang,quang.hoang.duc18@example.com,Marketing Coordinator,2026-08-20,Tier 2,2026-08-23,2026-08-26,advanced,2026-09-06
C3204,Thao Duc Do,thao.do.duc49@example.com,Backend Engineer,2026-08-20,Tier 2,2026-08-21,2026-08-25,withdrew,2026-08-30
C3218,Nam Van Le,nam.le.van59@example.com,Backend Engineer,2026-08-20,Tier 2,2026-08-21,2026-08-25,advanced,2026-09-04
C3221,Phuc Van Ly,phuc.ly.van92@example.com,Customer Success Associate,2026-08-20,Tier 2,2026-08-22,2026-08-25,rejected,2026-09-03
C3229,Chi Duc Hoang,chi.hoang.duc66@example.com,Marketing Coordinator,2026-08-20,Tier 1,2026-08-22,2026-08-25,advanced,2026-09-02
C3183,Hieu Van Bui,hieu.bui.van65@example.com,Sales Executive,2026-08-21,Tier 2,2026-08-24,2026-08-25,rejected,2026-09-01
C3189,Bao Duc Ngo,bao.ngo.duc58@example.com,Customer Success Associate,2026-08-21,Tier 1,2026-08-22,2026-08-26,rejected,2026-09-04
C3205,Hoa Thi Nguyen,hoa.nguyen.thi23@example.com,Sales Executive,2026-08-21,Tier 3,,,not_invited,2026-08-23
C3213,Vy Hoang Phan,vy.phan.hoang86@example.com,Backend Engineer,2026-08-21,Tier 2,2026-08-23,2026-08-24,rejected,2026-09-06
C3224,Nhi Gia Ly,nhi.ly.gia21@example.com,Finance Analyst,2026-08-21,Tier 1,2026-08-24,,no_answers_received,2026-09-01
C3232,Ngoc Ngoc Vu,ngoc.vu.ngoc81@example.com,Sales Executive,2026-08-21,Tier 2,2026-08-24,2026-08-25,advanced,2026-09-04
C3234,Dung Kim Pham,dung.pham.kim12@example.com,Marketing Coordinator,2026-08-21,Tier 2,2026-08-24,2026-08-25,advanced,2026-09-04
C3178,Nhi Thi Tran,nhi.tran.thi58@example.com,Finance Analyst,2026-08-22,Tier 3,,,not_invited,2026-08-24
C3188,An Thi Ngo,an.ngo.thi94@example.com,Customer Success Associate,2026-08-22,Tier 1,2026-08-25,,no_answers_received,2026-09-05
C3191,Kiet Kim Nguyen,kiet.nguyen.kim47@example.com,Finance Analyst,2026-08-22,Tier 3,,,not_invited,2026-08-24
C3199,Thanh Kim Hoang,thanh.hoang.kim19@example.com,Backend Engineer,2026-08-22,Tier 2,2026-08-25,2026-08-27,withdrew,2026-09-03
C3211,Vy Van Vu,vy.vu.van13@example.com,Marketing Coordinator,2026-08-22,Tier 1,2026-08-23,2026-08-26,rejected,2026-08-31
C3212,Nam Hoang Bui,nam.bui.hoang18@example.com,Sales Executive,2026-08-22,Tier 2,2026-08-25,2026-08-26,advanced,2026-09-02
C3182,Bao Ngoc Le,bao.le.ngoc86@example.com,Marketing Coordinator,2026-08-23,Tier 1,2026-08-25,2026-08-28,rejected,2026-09-07
C3185,Quang Gia Vo,quang.vo.gia92@example.com,Customer Success Associate,2026-08-23,Tier 2,2026-08-26,2026-08-28,advanced,2026-09-07
C3201,Tam Hoang Hoang,tam.hoang.hoang97@example.com,Marketing Coordinator,2026-08-23,Tier 3,,,not_invited,2026-08-26
C3210,Khanh Minh Dang,khanh.dang.minh36@example.com,Sales Executive,2026-08-23,Tier 2,2026-08-25,2026-08-28,rejected,2026-09-05
C3214,Ngoc Gia Hoang,ngoc.hoang.gia86@example.com,Customer Success Associate,2026-08-23,Tier 2,2026-08-26,2026-08-30,advanced,2026-09-08
C3216,Giang Thu Pham,giang.pham.thu27@example.com,Backend Engineer,2026-08-23,Tier 3,2026-08-25,2026-08-29,advanced,2026-09-08
C3219,Kiet Thu Bui,kiet.bui.thu68@example.com,Backend Engineer,2026-08-23,Tier 2,2026-08-26,2026-08-27,advanced,2026-09-06
C3225,Hai Van Nguyen,hai.nguyen.van18@example.com,Customer Success Associate,2026-08-23,Tier 3,,,not_invited,2026-08-24
C3227,Mai Gia Pham,mai.pham.gia61@example.com,Customer Success Associate,2026-08-23,Tier 2,2026-08-25,2026-08-26,advanced,2026-09-02
C3228,Nhi Minh Tran,nhi.tran.minh15@example.com,Customer Success Associate,2026-08-23,Tier 1,2026-08-25,2026-08-28,advanced,2026-09-06
C3231,Mai Minh Bui,mai.bui.minh38@example.com,Sales Executive,2026-08-23,Tier 3,2026-08-26,,no_answers_received,2026-09-06
C3233,Tam Duc Ly,tam.ly.duc85@example.com,Backend Engineer,2026-08-23,Tier 2,2026-08-25,2026-08-26,rejected,2026-09-02
C3242,Dung Thu Bui,dung.bui.thu33@example.com,Backend Engineer,2026-08-24,Tier 1,2026-08-25,2026-08-28,withdrew,2026-08-31
C3243,Ngoc Kim Do,ngoc.do.kim53@example.com,Marketing Coordinator,2026-08-24,Tier 3,,,not_invited,2026-08-27
C3247,An Thu Do,an.do.thu79@example.com,Finance Analyst,2026-08-24,Tier 1,2026-08-26,2026-08-30,advanced,2026-09-10
C3252,Nam Van Vu,nam.vu.van17@example.com,Marketing Coordinator,2026-08-24,Tier 2,2026-08-26,2026-08-27,rejected,2026-09-04
C3255,An Gia Dang,an.dang.gia15@example.com,Finance Analyst,2026-08-24,Tier 3,2026-08-27,2026-08-28,advanced,2026-09-07
C3259,Chi Van Ly,chi.ly.van99@example.com,Finance Analyst,2026-08-24,Tier 3,,,not_invited,2026-08-25
C3264,Quang Kim Truong,quang.truong.kim70@example.com,Customer Success Associate,2026-08-24,Tier 3,2026-08-26,2026-08-28,advanced,2026-09-06
C3265,Quang Duc Truong,quang.truong.duc10@example.com,Customer Success Associate,2026-08-24,Tier 2,2026-08-26,2026-08-27,advanced,2026-09-04
C3275,Ngoc Gia Dang,ngoc.dang.gia85@example.com,Sales Executive,2026-08-24,Tier 2,2026-08-27,2026-08-28,rejected,2026-09-09
C3286,Bao Van Dang,bao.dang.van22@example.com,Backend Engineer,2026-08-24,Tier 3,,,not_invited,2026-08-25
C3288,Dung Thu Tran,dung.tran.thu53@example.com,Sales Executive,2026-08-24,Tier 2,2026-08-26,2026-08-29,advanced,2026-09-10
C3289,Hieu Minh Le,hieu.le.minh84@example.com,Customer Success Associate,2026-08-24,Tier 1,2026-08-25,,no_answers_received,2026-08-31
C3292,Vy Minh Nguyen,vy.nguyen.minh95@example.com,Backend Engineer,2026-08-24,Tier 3,,,not_invited,2026-08-27
C3293,Tuan Bao Nguyen,tuan.nguyen.bao16@example.com,Backend Engineer,2026-08-24,Tier 2,2026-08-26,2026-08-27,advanced,2026-09-03
C3236,Duc Gia Le,duc.le.gia74@example.com,Backend Engineer,2026-08-25,Tier 1,2026-08-27,2026-08-29,rejected,2026-09-05
C3246,Nhi Van Bui,nhi.bui.van72@example.com,Marketing Coordinator,2026-08-25,Tier 1,2026-08-28,,no_answers_received,2026-09-03
C3253,Quang Van Pham,quang.pham.van81@example.com,Marketing Coordinator,2026-08-25,Tier 3,,,not_invited,2026-08-28
C3262,Hoa Thu Huynh,hoa.huynh.thu47@example.com,Finance Analyst,2026-08-25,Tier 3,2026-08-27,2026-08-29,rejected,2026-09-09
C3282,Ha Bao Vo,ha.vo.bao31@example.com,Backend Engineer,2026-08-25,Tier 2,2026-08-27,,no_answers_received,2026-09-07
C3285,Phuong Van Hoang,phuong.hoang.van90@example.com,Marketing Coordinator,2026-08-25,Tier 2,2026-08-27,2026-08-29,advanced,2026-09-06
C3290,Tuan Van Nguyen,tuan.nguyen.van28@example.com,Sales Executive,2026-08-25,Tier 2,2026-08-28,2026-09-01,rejected,2026-09-08
C3251,Phuc Hoang Tran,phuc.tran.hoang94@example.com,Marketing Coordinator,2026-08-26,Tier 3,,,not_invited,2026-08-27
C3256,Mai Ngoc Nguyen,mai.nguyen.ngoc66@example.com,Marketing Coordinator,2026-08-26,Tier 2,2026-08-29,2026-08-30,rejected,2026-09-11
C3258,Bao Thu Bui,bao.bui.thu24@example.com,Customer Success Associate,2026-08-26,Tier 2,2026-08-27,2026-08-31,rejected,2026-09-13
C3266,Phuong Duc Hoang,phuong.hoang.duc28@example.com,Sales Executive,2026-08-26,Tier 1,2026-08-29,2026-09-02,rejected,2026-09-12
C3269,Thanh Duc Vu,thanh.vu.duc26@example.com,Backend Engineer,2026-08-26,Tier 3,,,not_invited,2026-08-28
C3284,Tam Thu Vo,tam.vo.thu42@example.com,Sales Executive,2026-08-26,Tier 2,2026-08-28,2026-08-31,rejected,2026-09-08
C3235,Mai Hoang Bui,mai.bui.hoang78@example.com,Marketing Coordinator,2026-08-27,Tier 2,2026-08-29,,no_answers_received,2026-09-09
C3238,Phuc Thu Pham,phuc.pham.thu50@example.com,Marketing Coordinator,2026-08-27,Tier 1,2026-08-29,2026-09-02,withdrew,2026-09-07
C3245,Nhi Minh Hoang,nhi.hoang.minh11@example.com,Marketing Coordinator,2026-08-27,Tier 2,2026-08-28,2026-09-01,advanced,2026-09-08
C3250,Sang Ngoc Tran,sang.tran.ngoc95@example.com,Marketing Coordinator,2026-08-27,Tier 3,,,not_invited,2026-08-30
C3260,Dung Duc Phan,dung.phan.duc51@example.com,Sales Executive,2026-08-27,Tier 2,2026-08-28,2026-08-30,advanced,2026-09-10
C3268,Ngoc Bao Tran,ngoc.tran.bao82@example.com,Backend Engineer,2026-08-27,Tier 2,2026-08-28,2026-09-01,advanced,2026-09-10
C3270,Ngoc Duc Phan,ngoc.phan.duc56@example.com,Backend Engineer,2026-08-27,Tier 1,2026-08-30,2026-08-31,rejected,2026-09-04
C3274,Tam Minh Phan,tam.phan.minh26@example.com,Sales Executive,2026-08-27,Tier 2,2026-08-30,,no_answers_received,2026-09-11
C3278,Tam Hoang Tran,tam.tran.hoang91@example.com,Marketing Coordinator,2026-08-27,Tier 3,,,not_invited,2026-08-28
C3244,Phuong Kim Pham,phuong.pham.kim31@example.com,Customer Success Associate,2026-08-28,Tier 2,2026-08-30,2026-08-31,rejected,2026-09-08
C3254,Hoa Thu Nguyen,hoa.nguyen.thu78@example.com,Finance Analyst,2026-08-28,Tier 1,2026-08-31,,no_answers_received,2026-09-12
C3257,Chi Duc Vo,chi.vo.duc60@example.com,Finance Analyst,2026-08-28,Tier 1,2026-08-29,2026-08-31,withdrew,2026-09-04
C3261,Thanh Duc Pham,thanh.pham.duc62@example.com,Sales Executive,2026-08-28,Tier 3,,,not_invited,2026-08-31
C3267,Hoa Thi Le,hoa.le.thi83@example.com,Sales Executive,2026-08-28,Tier 3,,,not_invited,2026-08-31
C3272,Phuong Van Vo,phuong.vo.van68@example.com,Customer Success Associate,2026-08-28,Tier 3,,,not_invited,2026-08-29
C3273,Thao Gia Phan,thao.phan.gia24@example.com,Sales Executive,2026-08-28,Tier 3,,,not_invited,2026-08-29
C3277,Hoa Ngoc Phan,hoa.phan.ngoc69@example.com,Customer Success Associate,2026-08-28,Tier 3,,,not_invited,2026-08-30
C3239,Hoa Minh Vu,hoa.vu.minh37@example.com,Customer Success Associate,2026-08-29,Tier 3,2026-08-30,,no_answers_received,2026-09-05
C3248,Phuc Van Ngo,phuc.ngo.van54@example.com,Customer Success Associate,2026-08-29,Tier 3,,,not_invited,2026-09-01
C3249,Tuan Gia Dang,tuan.dang.gia57@example.com,Sales Executive,2026-08-29,Tier 1,2026-08-30,2026-09-03,rejected,2026-09-10
C3276,Giang Kim Vu,giang.vu.kim50@example.com,Marketing Coordinator,2026-08-29,Tier 2,2026-09-01,2026-09-04,rejected,2026-09-10
C3280,Phuc Kim Ly,phuc.ly.kim15@example.com,Sales Executive,2026-08-29,Tier 1,2026-08-30,2026-09-02,rejected,2026-09-08
C3287,Nhi Van Vu,nhi.vu.van14@example.com,Finance Analyst,2026-08-29,Tier 3,,,not_invited,2026-09-01
C3291,Duc Ngoc Huynh,duc.huynh.ngoc89@example.com,Customer Success Associate,2026-08-29,Tier 2,2026-08-31,2026-09-04,rejected,2026-09-11
C3237,Loan Van Huynh,loan.huynh.van11@example.com,Backend Engineer,2026-08-30,Tier 2,2026-09-02,2026-09-04,advanced,2026-09-13
C3240,Hai Duc Hoang,hai.hoang.duc79@example.com,Finance Analyst,2026-08-30,Tier 2,2026-09-01,2026-09-04,advanced,2026-09-16
C3241,Thanh Hoang Do,thanh.do.hoang32@example.com,Finance Analyst,2026-08-30,Tier 2,2026-09-01,2026-09-04,rejected,2026-09-11
C3263,Sang Hoang Bui,sang.bui.hoang82@example.com,Backend Engineer,2026-08-30,Tier 2,2026-09-01,2026-09-04,rejected,2026-09-12
C3271,Chi Hoang Huynh,chi.huynh.hoang45@example.com,Backend Engineer,2026-08-30,Tier 3,2026-08-31,2026-09-03,advanced,2026-09-12
C3279,Thanh Minh Le,thanh.le.minh57@example.com,Marketing Coordinator,2026-08-30,Tier 1,2026-08-31,2026-09-04,rejected,2026-09-11
C3281,Dung Thu Hoang,dung.hoang.thu34@example.com,Marketing Coordinator,2026-08-30,Tier 2,2026-08-31,2026-09-03,advanced,2026-09-15
C3283,Vy Bao Phan,vy.phan.bao76@example.com,Backend Engineer,2026-08-30,Tier 3,,,not_invited,2026-09-02
C3296,Ngoc Ngoc Pham,ngoc.pham.ngoc27@example.com,Finance Analyst,2026-08-31,Tier 2,2026-09-01,2026-09-05,rejected,2026-09-17
C3298,My Ngoc Vo,my.vo.ngoc95@example.com,Backend Engineer,2026-08-31,Tier 1,2026-09-02,2026-09-03,advanced,2026-09-11
C3321,Quang Thu Vo,quang.vo.thu56@example.com,Customer Success Associate,2026-08-31,Tier 1,2026-09-03,2026-09-04,withdrew,2026-09-11
C3329,Dung Minh Huynh,dung.huynh.minh24@example.com,Marketing Coordinator,2026-08-31,Tier 2,2026-09-01,,no_answers_received,2026-09-14
C3330,Hai Duc Vo,hai.vo.duc49@example.com,Finance Analyst,2026-08-31,Tier 1,2026-09-03,2026-09-04,rejected,2026-09-13
C3341,Linh Bao Nguyen,linh.nguyen.bao85@example.com,Finance Analyst,2026-08-31,Tier 2,2026-09-02,2026-09-06,rejected,2026-09-14
C3343,Thanh Minh Nguyen,thanh.nguyen.minh41@example.com,Sales Executive,2026-08-31,Tier 2,2026-09-02,,no_answers_received,2026-09-13
C3347,Khanh Gia Ngo,khanh.ngo.gia99@example.com,Backend Engineer,2026-08-31,Tier 2,2026-09-01,2026-09-02,advanced,2026-09-11
C3350,Phuc Minh Ly,phuc.ly.minh37@example.com,Backend Engineer,2026-08-31,Tier 2,2026-09-02,2026-09-06,advanced,2026-09-15
C3302,Nhi Kim Tran,nhi.tran.kim77@example.com,Finance Analyst,2026-09-01,Tier 3,,,not_invited,2026-09-02
C3308,Phuong Bao Nguyen,phuong.nguyen.bao14@example.com,Marketing Coordinator,2026-09-01,Tier 2,2026-09-04,2026-09-05,rejected,2026-09-12
C3334,Tuan Thi Do,tuan.do.thi22@example.com,Customer Success Associate,2026-09-01,Tier 1,2026-09-03,,no_answers_received,2026-09-15
C3337,Bao Thi Huynh,bao.huynh.thi89@example.com,Finance Analyst,2026-09-01,Tier 1,2026-09-03,2026-09-04,advanced,2026-09-13
C3342,Loan Duc Huynh,loan.huynh.duc36@example.com,Backend Engineer,2026-09-01,Tier 3,,,not_invited,2026-09-02
C3349,Hoa Kim Vu,hoa.vu.kim30@example.com,Customer Success Associate,2026-09-01,Tier 2,2026-09-03,,no_answers_received,2026-09-09
C3295,Loan Thi Nguyen,loan.nguyen.thi52@example.com,Marketing Coordinator,2026-09-02,Tier 1,2026-09-04,2026-09-06,rejected,2026-09-19
C3300,Thao Bao Nguyen,thao.nguyen.bao49@example.com,Sales Executive,2026-09-02,Tier 3,,,not_invited,2026-09-03
C3309,Giang Duc Truong,giang.truong.duc41@example.com,Marketing Coordinator,2026-09-02,Tier 2,2026-09-04,2026-09-05,rejected,2026-09-16
C3312,Ha Minh Tran,ha.tran.minh70@example.com,Customer Success Associate,2026-09-02,Tier 3,,,not_invited,2026-09-04
C3315,Nhi Kim Hoang,nhi.hoang.kim78@example.com,Sales Executive,2026-09-02,Tier 2,2026-09-04,2026-09-07,rejected,2026-09-16
C3318,Vy Thi Le,vy.le.thi33@example.com,Sales Executive,2026-09-02,Tier 1,2026-09-05,2026-09-06,rejected,2026-09-18
C3319,Hai Ngoc Pham,hai.pham.ngoc30@example.com,Marketing Coordinator,2026-09-02,Tier 1,2026-09-05,2026-09-08,withdrew,2026-09-17
C3322,Sang Minh Nguyen,sang.nguyen.minh23@example.com,Backend Engineer,2026-09-02,Tier 2,2026-09-04,,no_answers_received,2026-09-11
C3331,Hoa Duc Truong,hoa.truong.duc19@example.com,Customer Success Associate,2026-09-02,Tier 3,,,not_invited,2026-09-05
C3338,Phuc Hoang Do,phuc.do.hoang90@example.com,Customer Success Associate,2026-09-02,Tier 3,,,not_invited,2026-09-04
C3345,Ngoc Thu Do,ngoc.do.thu19@example.com,Sales Executive,2026-09-02,Tier 3,,,not_invited,2026-09-03
C3348,Tuan Duc Bui,tuan.bui.duc92@example.com,Backend Engineer,2026-09-02,Tier 2,2026-09-03,2026-09-07,rejected,2026-09-16
C3304,Nam Van Hoang,nam.hoang.van43@example.com,Sales Executive,2026-09-03,Tier 3,,,not_invited,2026-09-04
C3316,Dung Ngoc Truong,dung.truong.ngoc74@example.com,Backend Engineer,2026-09-03,Tier 3,,,not_invited,2026-09-05
C3327,Yen Bao Phan,yen.phan.bao13@example.com,Backend Engineer,2026-09-03,Tier 2,2026-09-04,2026-09-06,rejected,2026-09-13
C3332,Ha Van Vu,ha.vu.van59@example.com,Finance Analyst,2026-09-03,Tier 2,2026-09-05,2026-09-06,advanced,2026-09-15
C3333,Quang Thu Huynh,quang.huynh.thu19@example.com,Finance Analyst,2026-09-03,Tier 2,2026-09-05,2026-09-06,rejected,2026-09-17
C3346,Tuan Duc Truong,tuan.truong.duc24@example.com,Customer Success Associate,2026-09-03,Tier 2,2026-09-06,2026-09-10,awaiting_decision,
C3353,Tam Thi Pham,tam.pham.thi39@example.com,Finance Analyst,2026-09-03,Tier 1,2026-09-06,,no_answers_received,2026-09-13
C3294,An Hoang Do,an.do.hoang87@example.com,Backend Engineer,2026-09-04,Tier 1,2026-09-06,2026-09-09,rejected,2026-09-16
C3299,Hoa Ngoc Huynh,hoa.huynh.ngoc18@example.com,Sales Executive,2026-09-04,Tier 3,,,not_invited,2026-09-06
C3301,Ha Gia Le,ha.le.gia28@example.com,Marketing Coordinator,2026-09-04,Tier 2,2026-09-05,2026-09-09,advanced,2026-09-17
C3307,Duc Thu Ly,duc.ly.thu38@example.com,Marketing Coordinator,2026-09-04,Tier 2,2026-09-05,2026-09-09,advanced,2026-09-18
C3314,Kiet Gia Pham,kiet.pham.gia97@example.com,Backend Engineer,2026-09-04,Tier 1,2026-09-06,2026-09-09,withdrew,2026-09-12
C3325,Nam Thu Nguyen,nam.nguyen.thu43@example.com,Finance Analyst,2026-09-04,Tier 3,,,not_invited,2026-09-05
C3351,Sang Hoang Phan,sang.phan.hoang83@example.com,Backend Engineer,2026-09-04,Tier 2,2026-09-06,2026-09-10,awaiting_decision,
C3297,Thao Thi Vu,thao.vu.thi86@example.com,Backend Engineer,2026-09-05,Tier 1,2026-09-07,2026-09-10,advanced,2026-09-17
C3303,Hoa Bao Truong,hoa.truong.bao12@example.com,Customer Success Associate,2026-09-05,Tier 1,2026-09-06,2026-09-09,rejected,2026-09-18
C3305,Chi Thu Truong,chi.truong.thu16@example.com,Customer Success Associate,2026-09-05,Tier 2,2026-09-06,2026-09-07,rejected,2026-09-13
C3306,Ngoc Duc Nguyen,ngoc.nguyen.duc33@example.com,Customer Success Associate,2026-09-05,Tier 1,2026-09-08,2026-09-10,advanced,2026-09-16
C3310,Sang Bao Hoang,sang.hoang.bao17@example.com,Backend Engineer,2026-09-05,Tier 1,2026-09-08,2026-09-12,withdrew,2026-09-17
C3311,Phuc Duc Le,phuc.le.duc74@example.com,Backend Engineer,2026-09-05,Tier 2,2026-09-08,2026-09-11,rejected,2026-09-20
C3313,Tuan Minh Vo,tuan.vo.minh91@example.com,Backend Engineer,2026-09-05,Tier 2,2026-09-08,2026-09-11,awaiting_decision,
C3317,Phuong Bao Vo,phuong.vo.bao98@example.com,Marketing Coordinator,2026-09-05,Tier 3,,,not_invited,2026-09-07
C3320,Tam Bao Ngo,tam.ngo.bao73@example.com,Sales Executive,2026-09-05,Tier 2,2026-09-06,2026-09-08,advanced,2026-09-18
C3324,Tam Gia Do,tam.do.gia97@example.com,Sales Executive,2026-09-05,Tier 2,2026-09-07,2026-09-11,rejected,2026-09-20
C3326,Hai Thi Hoang,hai.hoang.thi40@example.com,Backend Engineer,2026-09-05,Tier 2,2026-09-08,2026-09-10,awaiting_decision,
C3336,Phuc Bao Ngo,phuc.ngo.bao27@example.com,Customer Success Associate,2026-09-05,Tier 2,2026-09-08,2026-09-09,rejected,2026-09-18
C3344,Linh Ngoc Do,linh.do.ngoc73@example.com,Finance Analyst,2026-09-05,Tier 2,2026-09-08,2026-09-09,rejected,2026-09-19
C3323,Chi Hoang Vu,chi.vu.hoang67@example.com,Marketing Coordinator,2026-09-06,Tier 1,2026-09-08,2026-09-12,awaiting_decision,
C3328,Thanh Gia Nguyen,thanh.nguyen.gia41@example.com,Sales Executive,2026-09-06,Tier 3,,,not_invited,2026-09-07
C3335,Duc Hoang Truong,duc.truong.hoang93@example.com,Marketing Coordinator,2026-09-06,Tier 3,,,not_invited,2026-09-08
C3339,Duc Kim Truong,duc.truong.kim67@example.com,Sales Executive,2026-09-06,Tier 2,2026-09-07,2026-09-10,rejected,2026-09-13
C3340,Phuong Van Dang,phuong.dang.van42@example.com,Finance Analyst,2026-09-06,Tier 2,2026-09-07,2026-09-10,withdrew,2026-09-15
C3352,Giang Thu Ngo,giang.ngo.thu22@example.com,Customer Success Associate,2026-09-06,Tier 2,2026-09-07,,no_answers_received,2026-09-16
C3363,Hieu Kim Huynh,hieu.huynh.kim92@example.com,Backend Engineer,2026-09-07,Tier 1,2026-09-10,,no_answers_received,2026-09-19
C3364,Yen Bao Tran,yen.tran.bao75@example.com,Customer Success Associate,2026-09-07,Tier 2,2026-09-08,2026-09-12,advanced,2026-09-16
C3366,Linh Kim Bui,linh.bui.kim43@example.com,Marketing Coordinator,2026-09-07,Tier 2,2026-09-09,2026-09-13,awaiting_decision,
C3371,Mai Minh Vo,mai.vo.minh58@example.com,Marketing Coordinator,2026-09-07,Tier 1,2026-09-08,2026-09-10,rejected,2026-09-15
C3377,Chi Thi Ly,chi.ly.thi51@example.com,Customer Success Associate,2026-09-07,Tier 3,,,not_invited,2026-09-10
C3385,Linh Minh Phan,linh.phan.minh69@example.com,Sales Executive,2026-09-07,Tier 1,2026-09-09,2026-09-12,awaiting_decision,
C3390,Sang Thi Tran,sang.tran.thi26@example.com,Sales Executive,2026-09-07,Tier 3,,,not_invited,2026-09-09
C3394,Bao Ngoc Vo,bao.vo.ngoc15@example.com,Customer Success Associate,2026-09-07,Tier 1,2026-09-10,,no_answers_received,2026-09-20
C3401,My Thu Vu,my.vu.thu26@example.com,Sales Executive,2026-09-07,Tier 2,2026-09-10,2026-09-13,awaiting_decision,
C3404,Khanh Ngoc Tran,khanh.tran.ngoc54@example.com,Marketing Coordinator,2026-09-07,Tier 3,,,not_invited,2026-09-10
C3411,Ha Gia Huynh,ha.huynh.gia52@example.com,Sales Executive,2026-09-07,Tier 3,,,not_invited,2026-09-08
C3415,Duc Thu Hoang,duc.hoang.thu33@example.com,Sales Executive,2026-09-07,Tier 3,,,not_invited,2026-09-09
C3357,Khanh Minh Do,khanh.do.minh11@example.com,Sales Executive,2026-09-08,Tier 2,2026-09-10,2026-09-14,awaiting_decision,
C3370,Hieu Thi Ngo,hieu.ngo.thi62@example.com,Sales Executive,2026-09-08,Tier 3,,,not_invited,2026-09-09
C3378,Thanh Kim Ngo,thanh.ngo.kim79@example.com,Finance Analyst,2026-09-08,Tier 2,2026-09-10,,awaiting_decision,
C3387,Duc Thu Huynh,duc.huynh.thu54@example.com,Sales Executive,2026-09-08,Tier 1,2026-09-11,2026-09-14,rejected,2026-09-17
C3392,Khanh Thi Dang,khanh.dang.thi49@example.com,Sales Executive,2026-09-08,Tier 2,2026-09-11,2026-09-15,awaiting_decision,
C3407,Phuong Minh Phan,phuong.phan.minh31@example.com,Finance Analyst,2026-09-08,Tier 2,2026-09-11,2026-09-12,awaiting_decision,
C3408,Loan Hoang Le,loan.le.hoang50@example.com,Finance Analyst,2026-09-08,Tier 2,2026-09-11,2026-09-13,awaiting_decision,
C3414,An Kim Do,an.do.kim89@example.com,Backend Engineer,2026-09-08,Tier 1,2026-09-11,2026-09-14,awaiting_decision,
C3416,Quang Hoang Vo,quang.vo.hoang30@example.com,Finance Analyst,2026-09-08,Tier 1,2026-09-10,,no_answers_received,2026-09-17
C2043,An Bao Tran,an.tran.bao35@example.com,Customer Success Associate,2026-09-09,Tier 1,2026-09-12,2026-09-15,awaiting_decision,
C2044,Hieu Van Ly,hieu.ly.van26@example.com,Marketing Coordinator,2026-09-09,Tier 1,2026-09-11,2026-09-15,awaiting_decision,
C2046,Loan Bao Huynh,loan.huynh.bao80@example.com,Backend Engineer,2026-09-09,Tier 2,2026-09-12,2026-09-16,awaiting_decision,
C3354,Yen Minh Vo,yen.vo.minh72@example.com,Customer Success Associate,2026-09-09,Tier 2,2026-09-12,2026-09-13,rejected,2026-09-20
C3355,Nam Hoang Do,nam.do.hoang39@example.com,Sales Executive,2026-09-09,Tier 2,2026-09-12,,awaiting_decision,
C3358,Bao Hoang Le,bao.le.hoang13@example.com,Sales Executive,2026-09-09,Tier 2,2026-09-11,2026-09-14,awaiting_decision,
